Genre,programCode,programName,textColor,backgroundColor2
GREATEST HITS,BSB,BSB HIT 6,"color: rgb(0, 0, 0)"," background-color: rgb(0, 204, 255)"
GREATEST HITS,BSB,BSB HIT 7,"color: rgb(0, 0, 0)"," background-color: rgb(0, 204, 255)"
GREATEST HITS,FEEL NOW,FEEL NOW B1,"color: rgb(255, 255, 255)"," background-color: rgb(0, 18, 28)"
GREATEST HITS,FEEL NOW,FEEL NOW B2,"color: rgb(255, 255, 255)"," background-color: rgb(0, 18, 28)"
GREATEST HITS,FEEL NOW,FEEL NOW B3,"color: rgb(255, 255, 255)"," background-color: rgb(0, 18, 28)"
GREATEST HITS,FEEL NOW,FEEL NOW B4,"color: rgb(255, 255, 255)"," background-color: rgb(0, 18, 28)"
GREATEST HITS,FEEL NOW,FEEL NOW G1,"color: rgb(255, 255, 255)"," background-color: rgb(213, 204, 127)"
GREATEST HITS,FEEL NOW,FEEL NOW G2,"color: rgb(255, 255, 255)"," background-color: rgb(213, 204, 127)"
GREATEST HITS,FEEL NOW,FEEL NOW G3,"color: rgb(255, 255, 255)"," background-color: rgb(213, 204, 127)"
GREATEST HITS,FEEL NOW,FEEL NOW S1,"color: rgb(255, 255, 255)"," background-color: rgb(192, 192, 192)"
GREATEST HITS,FEEL NOW,FEEL NOW S2,"color: rgb(255, 255, 255)"," background-color: rgb(192, 192, 192)"
GREATEST HITS,FEEL NOW,FEEL NOW S3,"color: rgb(255, 255, 255)"," background-color: rgb(192, 192, 192)"
HIP HOP,BB2,BB2 HIPHOP 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
HIP HOP,BB2,BB2 HIPHOP 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
HIP HOP,BB3,BB3 HIPHOP 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 51, 0)"
HIP HOP,BB3,BB3 HIPHOP 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 51, 0)"
